i,k,s,met,rxns
50,72,1.0,nad,THD2
51,72,-1.0,nadh,THD2
52,72,-1.0,nadp,THD2
53,72,1.0,nadph,THD2
33,73,1.0,g3p,TKT1
66,73,-1.0,r5p,TKT1
68,73,1.0,s7p,TKT1
72,73,-1.0,xu5p-D,TKT1
23,74,-1.0,e4p,TKT2
26,74,1.0,f6p,TKT2
33,74,1.0,g3p,TKT2
72,74,-1.0,xu5p-D,TKT2
22,75,-1.0,dhap,TPI
33,75,1.0,g3p,TPI
