i,k,v
785,1133,-1.0
786,1133,1.0
304,1134,-1.0
312,1134,1.0
532,1134,1.0
833,1134,-1.0
952,1134,1.0
789,1135,-1.0
862,1135,1.0
948,1135,-1.0
1333,1135,1.0
678,1136,1.0
683,1136,-1.0
787,1136,-1.0
952,1136,-1.0
1350,1136,1.0
788,1137,-1.0
789,1137,1.0
258,1138,1.0
878,1138,-1.0
898,1139,-1.0
907,1139,1.0
948,1139,-1.0
1333,1139,1.0
43,1140,1.0
278,1140,1.0
614,1140,-1.0
899,1140,-1.0
56,1141,1.0
278,1141,1.0
899,1141,-1.0
1172,1141,-1.0
54,1142,1.0
278,1142,1.0
899,1142,-1.0
1498,1142,-1.0
47,1143,1.0
278,1143,1.0
899,1143,-1.0
1267,1143,-1.0
45,1144,1.0
278,1144,1.0
899,1144,-1.0
967,1144,-1.0
51,1145,1.0
278,1145,1.0
899,1145,-1.0
1224,1145,-1.0
49,1146,1.0
278,1146,1.0
899,1146,-1.0
1235,1146,-1.0
354,1147,1.0
459,1147,-1.0
791,1147,1.0
793,1147,-1.0
946,1147,-1.0
952,1147,1.0
1331,1147,1.0
792,1148,-1.0
793,1148,1.0
630,1149,1.0
899,1149,-1.0
952,1149,1.0
1185,1149,-1.0
1186,1149,1.0
630,1150,1.0
899,1150,-1.0
1397,1150,-1.0
1398,1150,1.0
630,1151,1.0
899,1151,-1.0
1151,1151,1.0
1152,1151,-1.0
128,1152,-1.0
129,1152,1.0
630,1152,1.0
899,1152,-1.0
354,1153,1.0
459,1153,-1.0
794,1153,1.0
796,1153,-1.0
946,1153,-1.0
952,1153,1.0
1331,1153,1.0
795,1154,-1.0
796,1154,1.0
354,1155,1.0
459,1155,-1.0
797,1155,1.0
799,1155,-1.0
946,1155,-1.0
952,1155,1.0
1331,1155,1.0
798,1156,-1.0
799,1156,1.0
354,1157,1.0
459,1157,-1.0
800,1157,1.0
802,1157,-1.0
946,1157,-1.0
952,1157,1.0
1331,1157,1.0
801,1158,-1.0
802,1158,1.0
354,1159,1.0
459,1159,-1.0
803,1159,1.0
805,1159,-1.0
946,1159,-1.0
952,1159,1.0
1331,1159,1.0
804,1160,-1.0
805,1160,1.0
899,1161,-1.0
905,1161,1.0
946,1161,-1.0
1331,1161,1.0
53,1162,1.0
880,1162,-1.0
946,1162,1.0
952,1162,1.0
879,1163,-1.0
880,1163,1.0
952,1163,-1.0
1185,1163,1.0
1186,1163,-1.0
1331,1163,1.0
716,1164,1.0
834,1164,-1.0
946,1164,-1.0
1188,1164,1.0
276,1165,1.0
806,1165,-1.0
952,1165,1.0
1185,1165,-1.0
1186,1165,1.0
806,1166,-1.0
860,1166,1.0
946,1166,-1.0
1331,1166,1.0
806,1167,1.0
808,1167,-1.0
1331,1167,-2.0
1333,1167,2.0
807,1168,-1.0
808,1168,1.0
812,1169,-1.0
817,1169,1.0
948,1169,-1.0
1333,1169,1.0
811,1170,-1.0
812,1170,1.0
813,1171,-1.0
814,1171,1.0
265,1172,1.0
818,1172,-1.0
946,1172,1.0
824,1173,-1.0
952,1173,1.0
1183,1173,-1.0
1184,1173,1.0
1485,1173,1.0
124,1174,1.0
821,1174,-1.0
946,1174,1.0
824,1175,1.0
826,1175,-1.0
952,1175,1.0
954,1175,-1.0
825,1176,-1.0
826,1176,1.0
821,1177,1.0
823,1177,-1.0
952,1177,1.0
954,1177,-1.0
822,1178,-1.0
823,1178,1.0
818,1179,1.0
820,1179,-1.0
952,1179,1.0
954,1179,-1.0
819,1180,-1.0
820,1180,1.0
354,1181,1.0
459,1181,-1.0
810,1181,1.0
815,1181,-1.0
952,1181,1.0
814,1182,-1.0
817,1182,1.0
815,1183,1.0
860,1183,1.0
946,1183,-1.0
1111,1183,-1.0
809,1184,1.0
859,1184,-1.0
952,1184,1.0
1606,1184,1.0
1609,1184,-1.0
827,1185,1.0
829,1185,-1.0
1289,1185,-1.0
1394,1185,1.0
828,1186,-1.0
829,1186,1.0
830,1187,1.0
832,1187,-1.0
952,1187,1.0
954,1187,-1.0
831,1188,-1.0
832,1188,1.0
787,1189,-1.0
952,1189,-1.0
1350,1189,1.0
1609,1189,1.0
1641,1189,-1.0
354,1190,1.0
459,1190,-1.0
815,1190,1.0
817,1190,-1.0
946,1190,-1.0
952,1190,1.0
1331,1190,1.0
815,1191,1.0
817,1191,-1.0
952,1191,1.0
954,1191,-1.0
816,1192,-1.0
817,1192,1.0
834,1193,1.0
836,1193,-1.0
1331,1193,-2.0
1333,1193,2.0
835,1194,-1.0
836,1194,1.0
834,1195,1.0
838,1195,-1.0
1289,1195,-1.0
1394,1195,1.0
837,1196,-1.0
838,1196,1.0
22,1197,1.0
790,1197,-1.0
952,1197,1.0
1183,1197,-1.0
1184,1197,1.0
1331,1197,-1.0
1,1198,-1.0
759,1198,1.0
839,1198,-1.0
952,1198,1.0
1503,1198,1.0
354,1199,1.0
459,1199,-1.0
759,1199,1.0
765,1199,-1.0
839,1199,-1.0
952,1199,1.0
1331,1199,1.0
842,1200,-1.0
843,1200,1.0
844,1201,-1.0
908,1201,1.0
946,1201,-1.0
952,1201,2.0
1183,1201,-1.0
1184,1201,1.0
848,1202,-1.0
851,1202,1.0
400,1203,1.0
459,1203,-1.0
845,1203,-1.0
952,1203,1.0
1348,1203,1.0
845,1204,1.0
850,1204,-1.0
946,1204,-1.0
952,1204,1.0
1105,1204,1.0
850,1205,-1.0
916,1205,1.0
946,1205,-1.0
952,1205,2.0
1100,1205,1.0
846,1206,-1.0
847,1206,1.0
716,1207,-1.0
834,1207,1.0
874,1207,-1.0
882,1207,1.0
854,1208,1.0
856,1208,-1.0
946,1208,-1.0
952,1208,2.0
1185,1208,-1.0
1186,1208,1.0
234,1209,1.0
854,1209,-1.0
882,1209,1.0
946,1209,-1.0
856,1210,1.0
858,1210,-1.0
943,1210,1.0
946,1210,-1.0
1188,1210,1.0
1214,1210,-1.0
354,1211,1.0
459,1211,-1.0
858,1211,1.0
882,1211,-1.0
952,1211,1.0
1331,1211,1.0
1386,1211,-1.0
888,1212,1.0
946,1212,1.0
1136,1212,1.0
1435,1212,-1.0
1503,1212,-1.0
354,1213,1.0
459,1213,-1.0
845,1213,1.0
916,1213,-1.0
463,1214,1.0
911,1214,-1.0
304,1215,-1.0
319,1215,1.0
532,1215,1.0
860,1215,-1.0
862,1216,-1.0
865,1216,1.0
948,1216,-1.0
954,1216,1.0
1397,1216,-1.0
1398,1216,1.0
863,1217,1.0
865,1217,-1.0
952,1217,1.0
954,1217,-1.0
864,1218,-1.0
865,1218,1.0
787,1219,1.0
911,1219,-1.0
1331,1219,-1.0
463,1220,-1.0
787,1220,1.0
1331,1220,-1.0
132,1221,1.0
265,1221,-1.0
1394,1221,1.0
265,1222,1.0
866,1222,-1.0
946,1222,1.0
866,1223,1.0
868,1223,-1.0
952,1223,1.0
954,1223,-1.0
867,1224,-1.0
868,1224,1.0
354,1225,1.0
355,1225,-1.0
911,1225,1.0
952,1225,1.0
859,1226,1.0
952,1226,1.0
1003,1226,-1.0
1606,1226,1.0
1609,1226,-1.0
809,1227,-1.0
855,1227,1.0
952,1227,1.0
1606,1227,1.0
1609,1227,-1.0
855,1228,-1.0
857,1228,1.0
952,1228,1.0
1606,1228,1.0
1609,1228,-1.0
869,1229,-1.0
870,1229,1.0
871,1230,1.0
873,1230,-1.0
952,1230,1.0
954,1230,-1.0
872,1231,-1.0
873,1231,1.0
354,1232,1.0
459,1232,-1.0
860,1232,1.0
862,1232,-1.0
946,1232,-1.0
952,1232,1.0
1331,1232,1.0
806,1233,1.0
862,1233,-1.0
1289,1233,-1.0
1394,1233,1.0
860,1234,1.0
862,1234,-1.0
952,1234,1.0
954,1234,-1.0
861,1235,-1.0
862,1235,1.0
861,1236,-1.0
862,1236,1.0
463,1237,-1.0
911,1237,1.0
355,1238,1.0
459,1238,-1.0
787,1238,-1.0
952,1238,-1.0
1350,1238,1.0
354,1239,1.0
459,1239,-1.0
874,1239,1.0
882,1239,-1.0
952,1239,1.0
1188,1239,-1.0
1331,1239,1.0
400,1240,1.0
459,1240,-1.0
874,1240,-1.0
877,1240,1.0
1350,1240,1.0
1542,1240,-1.0
354,1241,1.0
459,1241,-1.0
874,1241,1.0
876,1241,-1.0
946,1241,-1.0
952,1241,1.0
1331,1241,1.0
875,1242,-1.0
876,1242,1.0
827,1243,-1.0
952,1243,1.0
1183,1243,-1.0
1184,1243,1.0
1483,1243,1.0
354,1244,1.0
459,1244,-1.0
879,1244,1.0
882,1244,-1.0
234,1245,-1.0
236,1245,1.0
882,1245,1.0
884,1245,-1.0
354,1246,1.0
459,1246,-1.0
579,1246,-1.0
882,1246,-1.0
885,1246,1.0
952,1246,1.0
1331,1246,1.0
234,1247,1.0
529,1247,1.0
882,1247,-1.0
952,1247,-1.0
369,1248,1.0
882,1248,-1.0
946,1248,-1.0
952,1248,1.0
1185,1248,-1.0
1186,1248,1.0
1188,1248,1.0
874,1249,-1.0
882,1249,1.0
946,1249,-1.0
1188,1249,1.0
876,1250,-1.0
884,1250,1.0
948,1250,-1.0
1190,1250,1.0
874,1251,-1.0
882,1251,1.0
946,1251,-1.0
1350,1251,1.0
1359,1251,1.0
1372,1251,-1.0
881,1252,-1.0
882,1252,1.0
369,1253,-1.0
874,1253,-1.0
882,1253,2.0
952,1253,-1.0
1185,1253,1.0
1186,1253,-1.0
878,1254,1.0
886,1254,-1.0
952,1254,-1.0
1185,1254,1.0
1186,1254,-1.0
1543,1254,1.0
400,1255,1.0
459,1255,-1.0
882,1255,-1.0
886,1255,1.0
1350,1255,1.0
1543,1255,-1.0
354,1256,1.0
459,1256,-1.0
882,1256,1.0
884,1256,-1.0
946,1256,-1.0
952,1256,1.0
1331,1256,1.0
882,1257,1.0
884,1257,-1.0
952,1257,1.0
954,1257,-1.0
882,1258,1.0
884,1258,-1.0
1177,1258,1.0
1179,1258,-1.0
883,1259,-1.0
884,1259,1.0
132,1260,1.0
529,1260,1.0
887,1260,-2.0
952,1260,-1.0
892,1261,-1.0
893,1261,1.0
891,1262,1.0
893,1262,-1.0
114,1263,1.0
304,1263,-1.0
532,1263,1.0
888,1263,-1.0
354,1264,1.0
459,1264,-1.0
894,1264,1.0
896,1264,-1.0
946,1264,-1.0
952,1264,1.0
1331,1264,1.0
894,1265,1.0
896,1265,-1.0
952,1265,1.0
954,1265,-1.0
895,1266,-1.0
896,1266,1.0
897,1267,-1.0
898,1267,1.0
354,1268,1.0
459,1268,-1.0
899,1268,1.0
901,1268,-1.0
946,1268,-1.0
952,1268,1.0
1331,1268,1.0
899,1269,1.0
901,1269,-1.0
1331,1269,-1.0
1333,1269,1.0
900,1270,-1.0
901,1270,1.0
902,1271,1.0
904,1271,-1.0
952,1271,1.0
954,1271,-1.0
903,1272,-1.0
904,1272,1.0
627,1273,1.0
905,1273,-1.0
952,1273,1.0
1183,1273,-1.0
1184,1273,1.0
228,1274,1.0
354,1274,1.0
459,1274,-1.0
902,1274,-1.0
952,1274,1.0
156,1275,1.0
354,1275,1.0
459,1275,-1.0
902,1275,-1.0
952,1275,1.0
529,1276,1.0
888,1276,-1.0
1136,1276,1.0
1183,1276,-1.0
1184,1276,1.0
1188,1276,1.0
1503,1276,-1.0
887,1277,-1.0
908,1277,1.0
952,1277,-1.0
1183,1277,1.0
1184,1277,-1.0
887,1278,-1.0
908,1278,1.0
952,1278,-1.0
1185,1278,1.0
1186,1278,-1.0
908,1279,1.0
910,1279,-1.0
952,1279,1.0
954,1279,-1.0
908,1280,1.0
910,1280,-1.0
1177,1280,1.0
1179,1280,-1.0
909,1281,-1.0
910,1281,1.0
887,1282,1.0
908,1282,-1.0
1397,1282,-1.0
1398,1282,1.0
887,1283,1.0
908,1283,-1.0
1151,1283,1.0
1152,1283,-1.0
128,1284,-1.0
129,1284,1.0
887,1284,1.0
908,1284,-1.0
906,1285,-1.0
907,1285,1.0
905,1286,-1.0
907,1286,1.0
354,1287,1.0
459,1287,-1.0
899,1287,1.0
905,1287,-1.0
952,1287,1.0
929,1288,1.0
946,1288,-1.0
952,1288,1.0
1042,1288,1.0
1057,1288,-1.0
946,1289,-1.0
952,1289,1.0
1042,1289,1.0
1156,1289,-1.0
400,1290,1.0
459,1290,-1.0
888,1290,-1.0
912,1290,1.0
1350,1290,1.0
1544,1290,-1.0
888,1291,1.0
890,1291,-1.0
952,1291,1.0
954,1291,-1.0
888,1292,1.0
890,1292,-1.0
1177,1292,1.0
1179,1292,-1.0
889,1293,-1.0
890,1293,1.0
848,1294,1.0
850,1294,-1.0
946,1294,1.0
356,1295,1.0
459,1295,-1.0
914,1295,-1.0
952,1295,-1.0
1350,1295,1.0
354,1296,1.0
459,1296,-1.0
913,1296,1.0
915,1296,-1.0
952,1296,1.0
913,1297,-1.0
914,1297,1.0
946,1297,-1.0
1331,1297,1.0
916,1298,-1.0
952,1298,-2.0
1013,1298,1.0
1185,1298,1.0
1186,1298,-1.0
1188,1298,1.0
400,1299,1.0
459,1299,-1.0
874,1299,-1.0
882,1299,1.0
916,1299,1.0
946,1299,-1.0
952,1299,2.0
1350,1299,1.0
1650,1299,-1.0
917,1300,-1.0
918,1300,1.0
275,1301,-1.0
529,1301,1.0
1185,1301,-1.0
1186,1301,1.0
1419,1301,1.0
275,1302,1.0
354,1302,1.0
459,1302,-1.0
863,1302,-1.0
952,1302,1.0
849,1303,1.0
851,1303,-1.0
952,1303,-1.0
1185,1303,1.0
1186,1303,-1.0
845,1304,2.0
919,1304,-1.0
946,1304,-1.0
952,1304,2.0
506,1305,1.0
791,1305,-1.0
899,1305,1.0
946,1305,-1.0
952,1305,1.0
508,1306,1.0
793,1306,-1.0
901,1306,1.0
948,1306,-1.0
954,1306,1.0
706,1307,1.0
794,1307,-1.0
899,1307,1.0
946,1307,-1.0
952,1307,1.0
708,1308,1.0
796,1308,-1.0
901,1308,1.0
948,1308,-1.0
954,1308,1.0
803,1309,-1.0
899,1309,1.0
946,1309,-1.0
952,1309,1.0
1435,1309,1.0
805,1310,-1.0
901,1310,1.0
948,1310,-1.0
954,1310,1.0
1437,1310,1.0
797,1311,-1.0
899,1311,1.0
905,1311,1.0
946,1311,-1.0
952,1311,1.0
799,1312,-1.0
901,1312,1.0
907,1312,1.0
948,1312,-1.0
954,1312,1.0
800,1313,-1.0
899,1313,1.0
946,1313,-1.0
952,1313,1.0
1019,1313,1.0
802,1314,-1.0
901,1314,1.0
948,1314,-1.0
954,1314,1.0
1021,1314,1.0
770,1315,1.0
920,1315,-1.0
1025,1315,-1.0
1350,1315,1.0
921,1316,-1.0
922,1316,1.0
926,1316,1.0
929,1316,-2.0
354,1317,1.0
459,1317,-1.0
916,1317,1.0
923,1317,-1.0
952,1317,1.0
923,1318,1.0
925,1318,-1.0
952,1318,1.0
954,1318,-1.0
924,1319,-1.0
925,1319,1.0
929,1320,1.0
935,1320,-1.0
946,1320,-1.0
1457,1320,1.0
354,1321,1.0
459,1321,-1.0
929,1321,-1.0
935,1321,1.0
952,1321,1.0
1331,1321,1.0
1457,1321,-1.0
927,1322,-1.0
928,1322,1.0
926,1323,-1.0
929,1323,2.0
952,1323,-1.0
1185,1323,1.0
1186,1323,-1.0
505,1324,1.0
884,1324,1.0
931,1324,-1.0
948,1324,-1.0
354,1325,1.0
459,1325,-1.0
929,1325,-1.0
931,1325,1.0
946,1325,-1.0
952,1325,1.0
1331,1325,1.0
354,1326,1.0
459,1326,-1.0
929,1326,1.0
931,1326,-1.0
946,1326,-1.0
952,1326,1.0
1331,1326,1.0
930,1327,-1.0
931,1327,1.0
354,1328,1.0
459,1328,-1.0
885,1328,-1.0
888,1328,-1.0
929,1328,1.0
952,1328,1.0
1331,1328,1.0
366,1329,1.0
765,1329,1.0
932,1329,-1.0
946,1329,-1.0
952,1329,1.0
79,1330,1.0
765,1330,1.0
932,1330,-1.0
946,1330,-3.0
952,1330,2.0
1350,1330,1.0
852,1331,-1.0
946,1331,-1.0
952,1331,1.0
1331,1331,1.0
1348,1331,1.0
400,1332,1.0
459,1332,-1.0
852,1332,1.0
932,1332,-1.0
952,1332,1.0
932,1333,-1.0
946,1333,-1.0
952,1333,-1.0
1188,1333,1.0
1653,1333,1.0
933,1334,-1.0
934,1334,1.0
936,1335,-1.0
946,1335,-1.0
952,1335,-1.0
1188,1335,1.0
1646,1335,1.0
916,1336,1.0
936,1336,-1.0
1350,1336,1.0
1372,1336,-1.0
936,1337,1.0
938,1337,-1.0
952,1337,1.0
954,1337,-1.0
937,1338,-1.0
938,1338,1.0
936,1339,1.0
938,1339,-1.0
778,1340,1.0
871,1340,-1.0
830,1341,-1.0
1485,1341,1.0
870,1342,-1.0
873,1342,1.0
948,1342,-1.0
1333,1342,1.0
944,1343,-1.0
945,1343,1.0
947,1344,-1.0
948,1344,1.0
946,1345,1.0
948,1345,-1.0
949,1346,-1.0
952,1346,2.0
1214,1346,-2.0
1454,1346,1.0
949,1347,-1.0
951,1347,1.0
950,1348,-1.0
951,1348,1.0
940,1349,-1.0
941,1349,1.0
939,1350,1.0
941,1350,-1.0
181,1351,-1.0
291,1351,1.0
952,1351,1.0
1183,1351,-1.0
1184,1351,1.0
193,1352,-1.0
217,1352,1.0
952,1352,1.0
1183,1352,-1.0
1184,1352,1.0
197,1353,-1.0
221,1353,1.0
952,1353,1.0
1183,1353,-1.0
1184,1353,1.0
189,1354,-1.0
213,1354,1.0
952,1354,1.0
1183,1354,-1.0
1184,1354,1.0
190,1355,-1.0
214,1355,1.0
952,1355,1.0
1183,1355,-1.0
1184,1355,1.0
205,1356,-1.0
227,1356,1.0
952,1356,1.0
1183,1356,-1.0
1184,1356,1.0
194,1357,-1.0
218,1357,1.0
952,1357,1.0
1183,1357,-1.0
1184,1357,1.0
200,1358,-1.0
224,1358,1.0
952,1358,1.0
1183,1358,-1.0
1184,1358,1.0
226,1359,1.0
245,1359,-1.0
1234,1359,-1.0
1350,1359,1.0
183,1360,1.0
185,1360,-1.0
952,1360,1.0
954,1360,-1.0
184,1361,-1.0
185,1361,1.0
529,1362,-1.0
946,1362,-1.0
952,1362,1.0
957,1362,1.0
365,1363,1.0
397,1363,-1.0
952,1363,1.0
958,1363,-1.0
1118,1363,1.0
952,1364,1.0
958,1364,-1.0
1118,1364,2.0
1139,1364,-1.0
960,1365,-1.0
961,1365,1.0
963,1366,-1.0
964,1366,1.0
965,1367,-1.0
966,1367,1.0
770,1368,-1.0
946,1368,-1.0
968,1368,1.0
1322,1368,-1.0
1350,1368,1.0
354,1369,1.0
459,1369,-1.0
952,1369,1.0
973,1369,-1.0
1326,1369,1.0
354,1370,1.0
459,1370,-1.0
952,1370,1.0
989,1370,-1.0
1328,1370,1.0
354,1371,1.0
357,1371,-1.0
952,1371,1.0
982,1371,1.0
1058,1371,-1.0
354,1372,1.0
357,1372,-1.0
952,1372,1.0
973,1372,1.0
982,1372,-1.0
354,1373,1.0
357,1373,-1.0
952,1373,1.0
989,1373,1.0
1326,1373,-1.0
354,1374,1.0
357,1374,-1.0
536,1374,1.0
857,1374,-1.0
952,1374,1.0
249,1375,-1.0
251,1375,1.0
354,1375,1.0
459,1375,-1.0
952,1375,1.0
354,1376,1.0
459,1376,-1.0
806,1376,1.0
860,1376,-1.0
952,1376,1.0
354,1377,1.0
459,1377,-1.0
952,1377,1.0
1101,1377,1.0
1105,1377,-1.0
354,1378,1.0
459,1378,-1.0
716,1378,1.0
771,1378,-1.0
952,1378,1.0
952,1379,1.0
954,1379,-1.0
993,1379,1.0
995,1379,-1.0
354,1380,1.0
459,1380,-1.0
946,1380,-1.0
952,1380,1.0
970,1380,-1.0
972,1380,1.0
1331,1380,1.0
952,1381,1.0
954,1381,-1.0
970,1381,-1.0
972,1381,1.0
971,1382,-1.0
972,1382,1.0
946,1383,-1.0
952,1383,3.0
974,1383,1.0
978,1383,-1.0
1183,1383,-2.0
1184,1383,2.0
946,1384,-1.0
977,1384,-1.0
978,1384,1.0
1331,1384,1.0
400,1385,1.0
459,1385,-1.0
974,1385,-1.0
979,1385,1.0
1350,1385,1.0
1545,1385,-1.0
354,1386,1.0
459,1386,-1.0
946,1386,-1.0
952,1386,1.0
974,1386,1.0
976,1386,-1.0
1331,1386,1.0
952,1387,1.0
954,1387,-1.0
974,1387,1.0
976,1387,-1.0
975,1388,-1.0
976,1388,1.0
946,1389,-1.0
952,1389,1.0
980,1389,-1.0
1239,1389,1.0
1465,1389,1.0
784,1390,1.0
946,1390,-1.0
952,1390,1.0
981,1390,-1.0
1239,1390,1.0
946,1391,-1.0
983,1391,1.0
1188,1391,4.0
1346,1391,-4.0
240,1392,-1.0
241,1392,1.0
354,1392,1.0
459,1392,-1.0
952,1392,1.0
952,1393,1.0
954,1393,-1.0
986,1393,-1.0
988,1393,1.0
987,1394,-1.0
988,1394,1.0
243,1395,-1.0
300,1395,1.0
1394,1395,1.0
273,1396,-1.0
274,1396,1.0
400,1396,1.0
459,1396,-1.0
952,1396,1.0
638,1397,-1.0
952,1397,1.0
980,1397,1.0
1214,1397,-1.0
202,1398,1.0
204,1398,-1.0
952,1398,1.0
954,1398,-1.0
203,1399,-1.0
204,1399,1.0
132,1400,1.0
990,1400,-1.0
902,1401,1.0
952,1401,-1.0
990,1401,-1.0
1183,1401,1.0
1184,1401,-1.0
902,1402,1.0
952,1402,-1.0
990,1402,-1.0
1185,1402,1.0
1186,1402,-1.0
456,1403,1.0
952,1403,1.0
986,1403,-1.0
1185,1403,-1.0
1186,1403,1.0
354,1404,1.0
459,1404,-1.0
952,1404,1.0
986,1404,-1.0
1327,1404,1.0
532,1405,1.0
986,1405,-1.0
1468,1405,-1.0
1471,1405,1.0
369,1406,1.0
882,1406,-1.0
977,1406,1.0
1012,1406,-1.0
946,1407,-1.0
952,1407,1.0
996,1407,-1.0
1183,1407,-1.0
1184,1407,1.0
1646,1407,1.0
994,1408,-1.0
995,1408,1.0
294,1409,1.0
304,1409,-1.0
993,1409,-1.0
999,1409,1.0
996,1410,-1.0
1013,1410,1.0
1350,1410,1.0
1372,1410,-1.0
939,1411,-1.0
952,1411,-2.0
954,1411,2.0
1397,1411,-1.0
1398,1411,1.0
939,1412,-1.0
952,1412,-2.0
954,1412,2.0
1151,1412,1.0
1152,1412,-1.0
128,1413,-1.0
129,1413,1.0
939,1413,-1.0
952,1413,-2.0
954,1413,2.0
946,1414,-1.0
1331,1414,1.0
1389,1414,-1.0
1390,1414,1.0
997,1415,-1.0
998,1415,1.0
996,1416,1.0
998,1416,-1.0
953,1417,-1.0
954,1417,1.0
369,1418,1.0
529,1418,1.0
1002,1418,-1.0
1185,1418,-1.0
1186,1418,1.0
509,1419,-1.0
1001,1419,1.0
509,1420,-1.0
1001,1420,1.0
69,1421,1.0
946,1421,-1.0
1001,1421,-1.0
1394,1421,1.0
887,1422,1.0
1002,1422,-1.0
1465,1422,1.0
262,1423,-1.0
952,1423,-1.0
1004,1423,1.0
1183,1423,1.0
1184,1423,-1.0
262,1424,-1.0
952,1424,-1.0
1004,1424,1.0
1185,1424,1.0
1186,1424,-1.0
952,1425,1.0
954,1425,-1.0
1004,1425,1.0
1006,1425,-1.0
1005,1426,-1.0
1006,1426,1.0
367,1427,1.0
700,1427,1.0
874,1427,-1.0
882,1427,1.0
952,1427,1.0
1364,1427,-1.0
700,1428,-1.0
946,1428,1.0
1012,1428,1.0
115,1429,-1.0
206,1429,1.0
529,1429,1.0
946,1429,1.0
952,1429,-1.0
208,1430,1.0
369,1430,-1.0
882,1430,1.0
1008,1430,-1.0
400,1431,1.0
459,1431,-1.0
1008,1431,-1.0
1011,1431,1.0
1350,1431,1.0
1546,1431,-1.0
354,1432,1.0
459,1432,-1.0
946,1432,-1.0
952,1432,1.0
1008,1432,1.0
1010,1432,-1.0
1331,1432,1.0
952,1433,1.0
954,1433,-1.0
1008,1433,1.0
1010,1433,-1.0
1009,1434,-1.0
1010,1434,1.0
769,1435,1.0
946,1435,-1.0
1013,1435,-1.0
946,1436,-1.0
952,1436,1.0
1013,1436,-1.0
1183,1436,-1.0
1184,1436,1.0
1650,1436,1.0
1014,1437,-1.0
1015,1437,1.0
952,1438,-1.0
954,1438,1.0
1016,1438,-1.0
1018,1438,1.0
952,1439,1.0
954,1439,-1.0
1016,1439,1.0
1018,1439,-1.0
1017,1440,-1.0
1018,1440,1.0
1019,1441,1.0
1021,1441,-1.0
1177,1441,1.0
1179,1441,-1.0
946,1442,-1.0
996,1442,1.0
1022,1442,-1.0
1410,1442,1.0
354,1443,1.0
459,1443,-1.0
952,1443,1.0
1013,1443,1.0
1022,1443,-1.0
1020,1444,-1.0
1021,1444,1.0
952,1445,1.0
954,1445,-1.0
1022,1445,1.0
1024,1445,-1.0
952,1446,1.0
954,1446,-1.0
1022,1446,1.0
1024,1446,-1.0
1023,1447,-1.0
1024,1447,1.0
652,1448,1.0
1025,1448,-1.0
942,1449,-1.0
946,1449,1.0
952,1449,-1.0
1025,1449,1.0
1183,1449,1.0
1184,1449,-1.0
169,1450,-1.0
171,1450,1.0
952,1450,1.0
1183,1450,-1.0
1184,1450,1.0
137,1451,1.0
169,1451,-1.0
946,1451,1.0
137,1452,-1.0
170,1452,1.0
946,1452,-1.0
170,1453,1.0
207,1453,-1.0
304,1453,-1.0
532,1453,1.0
946,1453,-1.0
952,1453,1.0
354,1454,1.0
459,1454,-1.0
946,1454,-1.0
952,1454,1.0
1026,1454,1.0
1028,1454,-1.0
1331,1454,1.0
1027,1455,-1.0
1028,1455,1.0
354,1456,1.0
459,1456,-1.0
946,1456,-1.0
952,1456,1.0
1034,1456,-1.0
1036,1456,1.0
1331,1456,1.0
1035,1457,1.0
1036,1457,-1.0
74,1458,-1.0
384,1458,1.0
952,1458,1.0
1185,1458,-1.0
1186,1458,1.0
75,1459,1.0
112,1459,-1.0
952,1459,-1.0
1185,1459,1.0
1186,1459,-1.0
278,1460,1.0
293,1460,-1.0
341,1460,1.0
529,1460,1.0
952,1460,-1.0
1075,1460,-1.0
304,1461,-1.0
341,1461,1.0
529,1461,1.0
532,1461,1.0
952,1461,-1.0
1075,1461,-1.0
291,1462,-1.0
304,1462,2.0
532,1462,-1.0
217,1463,1.0
304,1463,-1.0
465,1463,-1.0
532,1463,1.0
221,1464,1.0
304,1464,-1.0
532,1464,1.0
999,1464,-1.0
213,1465,1.0
304,1465,-1.0
532,1465,1.0
1223,1465,-1.0
214,1466,1.0
304,1466,-1.0
532,1466,1.0
603,1466,-1.0
227,1467,1.0
304,1467,-1.0
532,1467,1.0
618,1467,-1.0
218,1468,1.0
304,1468,-1.0
532,1468,1.0
1496,1468,-1.0
224,1469,-1.0
304,1469,1.0
532,1469,-1.0
1335,1469,1.0
515,1470,1.0
563,1470,-1.0
1039,1470,-1.0
1350,1470,1.0
946,1471,-1.0
1038,1471,-1.0
1039,1471,1.0
1331,1471,1.0
425,1472,-1.0
946,1472,-1.0
1038,1472,1.0
1289,1472,-1.0
1331,1472,1.0
175,1473,-1.0
529,1473,1.0
952,1473,-1.0
1658,1473,1.0
354,1474,1.0
459,1474,-1.0
946,1474,-1.0
952,1474,1.0
1030,1474,1.0
1032,1474,-1.0
1331,1474,1.0
952,1475,1.0
954,1475,-1.0
1030,1475,1.0
1032,1475,-1.0
952,1476,1.0
954,1476,-1.0
1030,1476,-1.0
1032,1476,1.0
1031,1477,-1.0
1032,1477,1.0
333,1478,1.0
538,1478,-1.0
1587,1478,-1.0
1602,1478,1.0
815,1479,1.0
860,1479,1.0
946,1479,-1.0
1050,1479,-1.0
817,1480,1.0
862,1480,1.0
948,1480,-1.0
1052,1480,-1.0
81,1481,1.0
282,1481,-1.0
285,1481,1.0
946,1481,-1.0
952,1482,-1.0
1048,1482,1.0
1156,1482,-1.0
1183,1482,1.0
1184,1482,-1.0
286,1483,-1.0
378,1483,1.0
