i,k,s,rxn,met
53,1628,1.0,CHSTEROLt,pi_c
198,1628,1.0,CHSTEROLt,chsterol_e
398,1628,-1.0,CHSTEROLt,chsterol_c
201,1629,-1.0,CITtam,cit_c
1150,1629,1.0,CITtam,cit_m
1153,1629,-1.0,CITtam,mal_L_m
1490,1629,1.0,CITtam,mal_L_c
201,1630,-1.0,CITtbm,cit_c
634,1630,1.0,CITtbm,pep_c
1150,1630,1.0,CITtbm,cit_m
1514,1630,-1.0,CITtbm,pep_m
75,1631,-1.0,CLOXAtex2,oxa_c
202,1631,-2.0,CLOXAtex2,cl_e
203,1631,2.0,CLOXAtex2,cl_c
284,1631,1.0,CLOXAtex2,oxa_e
112,1632,1.0,CMPACNAtg,cmpacna_g
114,1632,-1.0,CMPACNAtg,cmp_g
866,1632,-1.0,CMPACNAtg,cmpacna_c
923,1632,1.0,CMPACNAtg,cmp_c
587,1633,1.0,CMPSASn,ppi_n
1026,1633,-1.0,CMPSASn,ctp_n
1516,1633,-1.0,CMPSASn,acnam_n
1517,1633,1.0,CMPSASn,cmpacna_n
35,1634,-1.0,COAtm,coa_c
130,1634,1.0,COAtm,coa_m
3,1635,-1.0,CPPPGO,o2_c
8,1635,-2.0,CPPPGO,h_c
13,1635,2.0,CPPPGO,h2o_c
37,1635,2.0,CPPPGO,co2_c
1518,1635,-1.0,CPPPGO,cpppg3_c
1519,1635,1.0,CPPPGO,pppg9_c
142,1636,-2.0,CREATt4_2_r,na1_e
144,1636,2.0,CREATt4_2_r,na1_c
1393,1636,1.0,CREATt4_2_r,creat_c
1520,1636,-1.0,CREATt4_2_r,creat_e
130,1637,-1.0,CSNAT2m,coa_m
133,1637,1.0,CSNAT2m,ppcoa_m
1074,1637,1.0,CSNAT2m,crn_m
1238,1637,-1.0,CSNAT2m,pcrn_m
57,1638,1.0,CSNAT2x,coa_x
1417,1638,-1.0,CSNAT2x,crn_x
1462,1638,-1.0,CSNAT2x,dmnoncoa_x
1521,1638,1.0,CSNAT2x,dmnoncrn_x
57,1639,1.0,CSNAT3x,coa_x
384,1639,-1.0,CSNAT3x,ppcoa_x
1417,1639,-1.0,CSNAT3x,crn_x
1522,1639,1.0,CSNAT3x,pcrn_x
130,1640,-1.0,CSNATm,coa_m
402,1640,1.0,CSNATm,accoa_m
1074,1640,1.0,CSNATm,crn_m
1523,1640,-1.0,CSNATm,acrn_m
57,1641,1.0,CSNATp,coa_x
389,1641,-1.0,CSNATp,accoa_x
1417,1641,-1.0,CSNATp,crn_x
1524,1641,1.0,CSNATp,acrn_x
120,1642,-1.0,CYSTA,akg_c
121,1642,1.0,CYSTA,glu_L_c
164,1642,-1.0,CYSTA,cys_L_c
815,1642,1.0,CYSTA,mercppyr_c
212,1643,-1.0,CYTDt,cytd_e
213,1643,1.0,CYTDt,cytd_c
141,1644,-1.0,DADAe,h_e
197,1644,-1.0,DADAe,h2o_e
270,1644,1.0,DADAe,nh4_e
1525,1644,-1.0,DADAe,dad_2_e
1526,1644,1.0,DADAe,din_e
354,1645,1.0,DCK1n,h_n
611,1645,-1.0,DCK1n,atp_n
613,1645,1.0,DCK1n,adp_n
1021,1645,1.0,DCK1n,dcmp_n
1527,1645,-1.0,DCK1n,dcyt_n
354,1646,1.0,DCK2n,h_n
627,1646,-1.0,DCK2n,utp_n
1021,1646,1.0,DCK2n,dcmp_n
1025,1646,1.0,DCK2n,udp_n
1527,1646,-1.0,DCK2n,dcyt_n
50,1647,-1.0,DGK1,atp_c
52,1647,1.0,DGK1,adp_c
1015,1647,1.0,DGK1,dgdp_c
1047,1647,-1.0,DGK1,dgmp_c
43,1648,1.0,DGNSKm,h_m
131,1648,-1.0,DGNSKm,atp_m
608,1648,1.0,DGNSKm,adp_m
1528,1648,-1.0,DGNSKm,dgsn_m
1529,1648,1.0,DGNSKm,dgmp_m
356,1649,-1.0,DHCR241r,fadh2_r
358,1649,1.0,DHCR241r,fad_r
397,1649,-1.0,DHCR241r,zymst_r
1530,1649,1.0,DHCR241r,zymstnl_r
356,1650,-1.0,DHCR242r,fadh2_r
358,1650,1.0,DHCR242r,fad_r
1531,1650,-1.0,DHCR242r,chlstol_r
1532,1650,1.0,DHCR242r,lthstrl_r
356,1651,-1.0,DHCR243r,fadh2_r
358,1651,1.0,DHCR243r,fad_r
367,1651,1.0,DHCR243r,chsterol_r
1533,1651,-1.0,DHCR243r,dsmsterol_r
2,1652,-1.0,DHCR71r,h_r
30,1652,-1.0,DHCR71r,nadph_r
32,1652,1.0,DHCR71r,nadp_r
1533,1652,1.0,DHCR71r,dsmsterol_r
1534,1652,-1.0,DHCR71r,ddsmsterol_r
2,1653,-1.0,DHCR72r,h_r
30,1653,-1.0,DHCR72r,nadph_r
32,1653,1.0,DHCR72r,nadp_r
367,1653,1.0,DHCR72r,chsterol_r
1535,1653,-1.0,DHCR72r,7dhchsterol_r
8,1654,-1.0,DHFR,h_c
11,1654,1.0,DHFR,nadp_c
12,1654,-1.0,DHFR,nadph_c
896,1654,1.0,DHFR,thf_c
1536,1654,-1.0,DHFR,dhf_c
1351,1655,1.0,DHORD9,q10h2_m
1353,1655,-1.0,DHORD9,q10_m
1537,1655,-1.0,DHORD9,dhor_S_c
1538,1655,1.0,DHORD9,orot_c
8,1656,1.0,DHORTS,h_c
13,1656,-1.0,DHORTS,h2o_c
1500,1656,1.0,DHORTS,cbasp_c
1537,1656,-1.0,DHORTS,dhor_S_c
7,1657,1.0,DHPR,nad_c
8,1657,-1.0,DHPR,h_c
10,1657,-1.0,DHPR,nadh_c
1067,1657,1.0,DHPR,thbpt_c
1068,1657,-1.0,DHPR,dhbpt_c
891,1658,1.0,DMATTx,ppi_x
1539,1658,-1.0,DMATTx,ipdp_x
1540,1658,-1.0,DMATTx,dmpp_x
1541,1658,1.0,DMATTx,grdp_x
8,1659,1.0,DPCOAK,h_c
35,1659,1.0,DPCOAK,coa_c
50,1659,-1.0,DPCOAK,atp_c
52,1659,1.0,DPCOAK,adp_c
1542,1659,-1.0,DPCOAK,dpcoa_c
850,1660,1.0,DPMVDx,co2_x
889,1660,-1.0,DPMVDx,atp_x
1367,1660,1.0,DPMVDx,pi_x
1539,1660,1.0,DPMVDx,ipdp_x
1543,1660,-1.0,DPMVDx,5dpmev_x
1544,1660,1.0,DPMVDx,adp_x
8,1661,1.0,DRBK,h_c
50,1661,-1.0,DRBK,atp_c
52,1661,1.0,DRBK,adp_c
1356,1661,1.0,DRBK,2dr5p_c
1545,1661,-1.0,DRBK,drib_c
50,1662,-1.0,DTMPK,atp_c
52,1662,1.0,DTMPK,adp_c
633,1662,1.0,DTMPK,dtdp_c
1049,1662,-1.0,DTMPK,dtmp_c
43,1663,1.0,DURIK1m,h_m
131,1663,-1.0,DURIK1m,atp_m
608,1663,1.0,DURIK1m,adp_m
629,1663,-1.0,DURIK1m,duri_m
632,1663,1.0,DURIK1m,dump_m
43,1664,1.0,DUTPDPm,h_m
46,1664,-1.0,DUTPDPm,h2o_m
132,1664,1.0,DUTPDPm,ppi_m
632,1664,1.0,DUTPDPm,dump_m
1075,1664,-1.0,DUTPDPm,dutp_m
354,1665,1.0,DUTPDPn,h_n
355,1665,-1.0,DUTPDPn,h2o_n
587,1665,1.0,DUTPDPn,ppi_n
628,1665,-1.0,DUTPDPn,dutp_n
1546,1665,1.0,DUTPDPn,dump_n
397,1666,-1.0,EBP1r,zymst_r
1531,1666,1.0,EBP1r,chlstol_r
1530,1667,-1.0,EBP2r,zymstnl_r
1532,1667,1.0,EBP2r,lthstrl_r
767,1668,1.0,EHGLAT2m,4h2oglt_m
858,1668,1.0,EHGLAT2m,asp_L_m
1149,1668,-1.0,EHGLAT2m,oaa_m
1470,1668,-1.0,EHGLAT2m,e4hglu_m
123,1669,-1.0,EHGLATm,akg_m
124,1669,1.0,EHGLATm,glu_L_m
767,1669,1.0,EHGLATm,4h2oglt_m
1470,1669,-1.0,EHGLATm,e4hglu_m
35,1670,1.0,ELAIDCPT1,coa_c
207,1670,-1.0,ELAIDCPT1,crn_c
426,1670,-1.0,ELAIDCPT1,od2coa_c
1547,1670,1.0,ELAIDCPT1,elaidcrn_c
130,1671,-1.0,ELAIDCPT2,coa_m
1074,1671,1.0,ELAIDCPT2,crn_m
1436,1671,1.0,ELAIDCPT2,od2coa_m
1548,1671,-1.0,ELAIDCPT2,elaidcrn_m
13,1672,1.0,ENO,h2o_c
80,1672,-1.0,ENO,2pg_c
634,1672,1.0,ENO,pep_c
13,1673,-1.0,ETHP,h2o_c
53,1673,1.0,ETHP,pi_c
926,1673,1.0,ETHP,etha_c
927,1673,-1.0,ETHP,ethamp_c
8,1674,-1.0,F1PGT,h_c
136,1674,1.0,F1PGT,ppi_c
451,1674,-1.0,F1PGT,gtp_c
1550,1674,-1.0,F1PGT,fuc1p_L_c
1551,1674,1.0,F1PGT,gdpfuc_c
103,1675,-1.0,F6Tg,n2m2masn_g
106,1675,1.0,F6Tg,h_g
506,1675,-1.0,F6Tg,gdpfuc_g
508,1675,1.0,F6Tg,gdp_g
558,1675,1.0,F6Tg,fn2m2masn_g
20,1676,-1.0,FACOAL140i,ttdca_c
35,1676,-1.0,FACOAL140i,coa_c
50,1676,-1.0,FACOAL140i,atp_c
135,1676,1.0,FACOAL140i,amp_c
136,1676,1.0,FACOAL140i,ppi_c
1552,1676,1.0,FACOAL140i,tdcoa_c
8,1677,2.0,FADDP,h_c
13,1677,-1.0,FADDP,h2o_c
135,1677,1.0,FADDP,amp_c
648,1677,-1.0,FADDP,fad_c
1091,1677,1.0,FADDP,fmn_c
43,1678,2.0,FCLTm,h_m
1553,1678,-1.0,FCLTm,ppp9_m
1554,1678,-1.0,FCLTm,fe2_m
1555,1678,1.0,FCLTm,pheme_m
8,1679,1.0,FK,h_c
50,1679,-1.0,FK,atp_c
52,1679,1.0,FK,adp_c
1550,1679,1.0,FK,fuc1p_L_c
1556,1679,-1.0,FK,fuc_L_c
8,1680,-1.0,FMNAT,h_c
50,1680,-1.0,FMNAT,atp_c
136,1680,1.0,FMNAT,ppi_c
648,1680,1.0,FMNAT,fad_c
1091,1680,-1.0,FMNAT,fmn_c
11,1681,1.0,FOLR2,nadp_c
12,1681,-1.0,FOLR2,nadph_c
1536,1681,1.0,FOLR2,dhf_c
1557,1681,-1.0,FOLR2,fol_c
8,1682,1.0,FPGS2,h_c
50,1682,-1.0,FPGS2,atp_c
52,1682,1.0,FPGS2,adp_c
53,1682,1.0,FPGS2,pi_c
121,1682,-1.0,FPGS2,glu_L_c
1558,1682,-1.0,FPGS2,5thf_c
1559,1682,1.0,FPGS2,6thf_c
43,1683,1.0,FPGS2m,h_m
124,1683,-1.0,FPGS2m,glu_L_m
131,1683,-1.0,FPGS2m,atp_m
608,1683,1.0,FPGS2m,adp_m
855,1683,1.0,FPGS2m,pi_m
1560,1683,-1.0,FPGS2m,5thf_m
1561,1683,1.0,FPGS2m,6thf_m
8,1684,1.0,FPGS3,h_c
50,1684,-1.0,FPGS3,atp_c
52,1684,1.0,FPGS3,adp_c
53,1684,1.0,FPGS3,pi_c
121,1684,-1.0,FPGS3,glu_L_c
1559,1684,-1.0,FPGS3,6thf_c
1562,1684,1.0,FPGS3,7thf_c
43,1685,1.0,FPGS3m,h_m
124,1685,-1.0,FPGS3m,glu_L_m
131,1685,-1.0,FPGS3m,atp_m
608,1685,1.0,FPGS3m,adp_m
855,1685,1.0,FPGS3m,pi_m
1561,1685,-1.0,FPGS3m,6thf_m
1563,1685,1.0,FPGS3m,7thf_m
8,1686,1.0,FPGS5,h_c
50,1686,-1.0,FPGS5,atp_c
52,1686,1.0,FPGS5,adp_c
53,1686,1.0,FPGS5,pi_c
121,1686,-1.0,FPGS5,glu_L_c
1564,1686,-1.0,FPGS5,5dhf_c
1565,1686,1.0,FPGS5,6dhf_c
43,1687,1.0,FPGS5m,h_m
124,1687,-1.0,FPGS5m,glu_L_m
131,1687,-1.0,FPGS5m,atp_m
608,1687,1.0,FPGS5m,adp_m
855,1687,1.0,FPGS5m,pi_m
1566,1687,-1.0,FPGS5m,5dhf_m
1567,1687,1.0,FPGS5m,6dhf_m
8,1688,1.0,FPGS6,h_c
50,1688,-1.0,FPGS6,atp_c
52,1688,1.0,FPGS6,adp_c
53,1688,1.0,FPGS6,pi_c
121,1688,-1.0,FPGS6,glu_L_c
1565,1688,-1.0,FPGS6,6dhf_c
1568,1688,1.0,FPGS6,7dhf_c
43,1689,1.0,FPGS6m,h_m
124,1689,-1.0,FPGS6m,glu_L_m
131,1689,-1.0,FPGS6m,atp_m
608,1689,1.0,FPGS6m,adp_m
855,1689,1.0,FPGS6m,pi_m
1567,1689,-1.0,FPGS6m,6dhf_m
1569,1689,1.0,FPGS6m,7dhf_m
8,1690,1.0,FPGS8,h_c
50,1690,-1.0,FPGS8,atp_c
52,1690,1.0,FPGS8,adp_c
53,1690,1.0,FPGS8,pi_c
121,1690,-1.0,FPGS8,glu_L_c
1570,1690,-1.0,FPGS8,10fthf5glu_c
1571,1690,1.0,FPGS8,10fthf6glu_c
43,1691,1.0,FPGS8m,h_m
124,1691,-1.0,FPGS8m,glu_L_m
131,1691,-1.0,FPGS8m,atp_m
608,1691,1.0,FPGS8m,adp_m
855,1691,1.0,FPGS8m,pi_m
1572,1691,-1.0,FPGS8m,10fthf5glu_m
1573,1691,1.0,FPGS8m,10fthf6glu_m
8,1692,1.0,FPGS9,h_c
50,1692,-1.0,FPGS9,atp_c
52,1692,1.0,FPGS9,adp_c
53,1692,1.0,FPGS9,pi_c
121,1692,-1.0,FPGS9,glu_L_c
1571,1692,-1.0,FPGS9,10fthf6glu_c
1574,1692,1.0,FPGS9,10fthf7glu_c
43,1693,1.0,FPGS9m,h_m
124,1693,-1.0,FPGS9m,glu_L_m
131,1693,-1.0,FPGS9m,atp_m
608,1693,1.0,FPGS9m,adp_m
855,1693,1.0,FPGS9m,pi_m
1573,1693,-1.0,FPGS9m,10fthf6glu_m
1575,1693,1.0,FPGS9m,10fthf7glu_m
4,1694,1.0,FTCD,nh4_c
8,1694,-2.0,FTCD,h_c
894,1694,1.0,FTCD,methf_c
1576,1694,-1.0,FTCD,5forthf_c
50,1695,-1.0,FTHFL,atp_c
52,1695,1.0,FTHFL,adp_c
53,1695,1.0,FTHFL,pi_c
84,1695,-1.0,FTHFL,for_c
895,1695,1.0,FTHFL,10fthf_c
896,1695,-1.0,FTHFL,thf_c
131,1696,-1.0,FTHFLm,atp_m
608,1696,1.0,FTHFLm,adp_m
793,1696,-1.0,FTHFLm,thf_m
855,1696,1.0,FTHFLm,pi_m
918,1696,1.0,FTHFLm,10fthf_m
1577,1696,-1.0,FTHFLm,for_m
458,1697,-1.0,FUCASE2ly,h2o_l
1578,1697,-1.0,FUCASE2ly,ksi_l
1579,1697,1.0,FUCASE2ly,fuc_L_l
1580,1697,1.0,FUCASE2ly,ksi_deg1_l
458,1698,-1.0,FUCASEly,h2o_l
1579,1698,1.0,FUCASEly,fuc_L_l
1581,1698,-1.0,FUCASEly,s2l2fn2m2masn_l
1582,1698,1.0,FUCASEly,s2l2n2m2masn_l
13,1699,-1.0,FUM,h2o_c
825,1699,-1.0,FUM,fum_c
1490,1699,1.0,FUM,mal_L_c
46,1700,-1.0,FUMm,h2o_m
1153,1700,1.0,FUMm,mal_L_m
1154,1700,-1.0,FUMm,fum_m
825,1701,-1.0,FUMSO3tm,fum_c
1154,1701,1.0,FUMSO3tm,fum_m
1155,1701,1.0,FUMSO3tm,so3_c
1329,1701,-1.0,FUMSO3tm,so3_m
314,1702,1.0,FUMSO4tm,so4_c
825,1702,-1.0,FUMSO4tm,fum_c
1154,1702,1.0,FUMSO4tm,fum_m
1583,1702,-1.0,FUMSO4tm,so4_m
53,1703,1.0,FUMtm,pi_c
825,1703,-1.0,FUMtm,fum_c
855,1703,-1.0,FUMtm,pi_m
1154,1703,1.0,FUMtm,fum_m
332,1704,1.0,FUMTSULtm,tsul_c
825,1704,-1.0,FUMTSULtm,fum_c
1154,1704,1.0,FUMTSULtm,fum_m
1328,1704,-1.0,FUMTSULtm,tsul_m
106,1705,1.0,G14T10g,h_g
107,1705,1.0,G14T10g,udp_g
412,1705,-1.0,G14T10g,udpgal_g
1309,1705,1.0,G14T10g,ksi_pre15_g
1324,1705,-1.0,G14T10g,ksi_pre14_g
106,1706,1.0,G14T11g,h_g
107,1706,1.0,G14T11g,udp_g
412,1706,-1.0,G14T11g,udpgal_g
1275,1706,1.0,G14T11g,ksi_pre18_g
1325,1706,-1.0,G14T11g,ksi_pre17_g
106,1707,1.0,G14T12g,h_g
107,1707,1.0,G14T12g,udp_g
412,1707,-1.0,G14T12g,udpgal_g
1277,1707,1.0,G14T12g,ksi_pre21_g
1326,1707,-1.0,G14T12g,ksi_pre20_g
106,1708,1.0,G14T13g,h_g
107,1708,1.0,G14T13g,udp_g
412,1708,-1.0,G14T13g,udpgal_g
1279,1708,1.0,G14T13g,ksi_pre24_g
1312,1708,-1.0,G14T13g,ksi_pre23_g
106,1709,1.0,G14T14g,h_g
107,1709,1.0,G14T14g,udp_g
412,1709,-1.0,G14T14g,udpgal_g
1281,1709,1.0,G14T14g,ksi_pre27_g
1313,1709,-1.0,G14T14g,ksi_pre26_g
106,1710,1.0,G14T15g,h_g
107,1710,1.0,G14T15g,udp_g
412,1710,-1.0,G14T15g,udpgal_g
1283,1710,1.0,G14T15g,ksi_pre30_g
1314,1710,-1.0,G14T15g,ksi_pre29_g
106,1711,1.0,G14T16g,h_g
107,1711,1.0,G14T16g,udp_g
412,1711,-1.0,G14T16g,udpgal_g
1285,1711,1.0,G14T16g,ksi_pre33_g
1315,1711,-1.0,G14T16g,ksi_pre32_g
106,1712,1.0,G14T19g,h_g
107,1712,1.0,G14T19g,udp_g
412,1712,-1.0,G14T19g,udpgal_g
1288,1712,-1.0,G14T19g,ksii_core4_pre3_g
1289,1712,1.0,G14T19g,ksii_core4_pre4_g
106,1713,1.0,G14T20g,h_g
107,1713,1.0,G14T20g,udp_g
412,1713,-1.0,G14T20g,udpgal_g
1291,1713,1.0,G14T20g,ksii_core4_pre7_g
1317,1713,-1.0,G14T20g,ksii_core4_pre6_g
106,1714,1.0,G14T3g,h_g
107,1714,1.0,G14T3g,udp_g
412,1714,-1.0,G14T3g,udpgal_g
1294,1714,-1.0,G14T3g,ksii_core2_pre3_g
1295,1714,1.0,G14T3g,ksii_core2_pre4_g
106,1715,1.0,G14T4g,h_g
107,1715,1.0,G14T4g,udp_g
412,1715,-1.0,G14T4g,udpgal_g
1297,1715,1.0,G14T4g,ksii_core2_pre7_g
1319,1715,-1.0,G14T4g,ksii_core2_pre6_g
106,1716,1.0,G14T6g,h_g
107,1716,1.0,G14T6g,udp_g
412,1716,-1.0,G14T6g,udpgal_g
1300,1716,-1.0,G14T6g,ksi_pre2_g
1301,1716,1.0,G14T6g,ksi_pre3_g
106,1717,1.0,G14T7g,h_g
107,1717,1.0,G14T7g,udp_g
412,1717,-1.0,G14T7g,udpgal_g
1303,1717,1.0,G14T7g,ksi_pre6_g
1321,1717,-1.0,G14T7g,ksi_pre5_g
106,1718,1.0,G14T8g,h_g
107,1718,1.0,G14T8g,udp_g
412,1718,-1.0,G14T8g,udpgal_g
1305,1718,1.0,G14T8g,ksi_pre9_g
1322,1718,-1.0,G14T8g,ksi_pre8_g
106,1719,1.0,G14T9g,h_g
107,1719,1.0,G14T9g,udp_g
412,1719,-1.0,G14T9g,udpgal_g
1307,1719,1.0,G14T9g,ksi_pre12_g
1323,1719,-1.0,G14T9g,ksi_pre11_g
106,1720,2.0,G14Tg,h_g
107,1720,2.0,G14Tg,udp_g
111,1720,1.0,G14Tg,l2fn2m2masn_g
412,1720,-2.0,G14Tg,udpgal_g
558,1720,-1.0,G14Tg,fn2m2masn_g
71,1721,1.0,G3PD2m,dhap_c
137,1721,-1.0,G3PD2m,fad_m
139,1721,1.0,G3PD2m,fadh2_m
732,1721,-1.0,G3PD2m,glyc3p_c
4,1722,1.0,G6PDA,nh4_c
13,1722,-1.0,G6PDA,h2o_c
786,1722,1.0,G6PDA,f6p_c
1475,1722,-1.0,G6PDA,gam6p_c
2,1723,1.0,G6PDH1rer,h_r
391,1723,-1.0,G6PDH1rer,nad_r
393,1723,1.0,G6PDH1rer,nadh_r
1069,1723,-1.0,G6PDH1rer,g6p_r
1359,1723,1.0,G6PDH1rer,6pgl_r
2,1724,1.0,G6PDH2rer,h_r
30,1724,1.0,G6PDH2rer,nadph_r
32,1724,-1.0,G6PDH2rer,nadp_r
1069,1724,-1.0,G6PDH2rer,g6p_r
1359,1724,1.0,G6PDH2rer,6pgl_r
458,1725,-1.0,GALASE10ly,h2o_l
460,1725,1.0,GALASE10ly,gal_l
477,1725,-1.0,GALASE10ly,ksi_deg26_l
1585,1725,1.0,GALASE10ly,ksi_deg27_l
458,1726,-1.0,GALASE11ly,h2o_l
460,1726,1.0,GALASE11ly,gal_l
479,1726,-1.0,GALASE11ly,ksi_deg29_l
1586,1726,1.0,GALASE11ly,ksi_deg30_l
458,1727,-1.0,GALASE12ly,h2o_l
460,1727,1.0,GALASE12ly,gal_l
481,1727,-1.0,GALASE12ly,ksi_deg32_l
1587,1727,1.0,GALASE12ly,ksi_deg33_l
458,1728,-1.0,GALASE13ly,h2o_l
460,1728,1.0,GALASE13ly,gal_l
483,1728,-1.0,GALASE13ly,ksi_deg35_l
1588,1728,1.0,GALASE13ly,ksi_deg36_l
458,1729,-1.0,GALASE14ly,h2o_l
460,1729,1.0,GALASE14ly,gal_l
485,1729,-1.0,GALASE14ly,ksi_deg38_l
486,1729,1.0,GALASE14ly,ksi_deg39_l
458,1730,-1.0,GALASE15ly,h2o_l
460,1730,1.0,GALASE15ly,gal_l
487,1730,-1.0,GALASE15ly,ksi_deg40_l
488,1730,1.0,GALASE15ly,ksi_deg41_l
458,1731,-2.0,GALASE16ly,h2o_l
460,1731,2.0,GALASE16ly,gal_l
1589,1731,-1.0,GALASE16ly,ksii_core2_deg2_l
1590,1731,1.0,GALASE16ly,ksii_core2_deg3_l
458,1732,-1.0,GALASE17ly,h2o_l
460,1732,1.0,GALASE17ly,gal_l
491,1732,-1.0,GALASE17ly,ksii_core2_deg5_l
1591,1732,1.0,GALASE17ly,ksii_core2_deg6_l
458,1733,-1.0,GALASE18ly,h2o_l
460,1733,1.0,GALASE18ly,gal_l
493,1733,-1.0,GALASE18ly,ksii_core2_deg8_l
494,1733,1.0,GALASE18ly,ksii_core2_deg9_l
458,1734,-1.0,GALASE19ly,h2o_l
460,1734,1.0,GALASE19ly,gal_l
495,1734,-1.0,GALASE19ly,f1a_l
1592,1734,1.0,GALASE19ly,core6_l
458,1735,-2.0,GALASE1ly,h2o_l
460,1735,2.0,GALASE1ly,gal_l
1339,1735,1.0,GALASE1ly,n2m2mn_l
1593,1735,-1.0,GALASE1ly,l2n2m2mn_l
458,1736,-2.0,GALASE20ly,h2o_l
460,1736,2.0,GALASE20ly,gal_l
1594,1736,-1.0,GALASE20ly,ksii_core4_deg2_l
1595,1736,1.0,GALASE20ly,ksii_core4_deg3_l
458,1737,-2.0,GALASE3ly,h2o_l
460,1737,2.0,GALASE3ly,gal_l
1596,1737,-1.0,GALASE3ly,ksi_deg5_l
1597,1737,1.0,GALASE3ly,ksi_deg6_l
458,1738,-1.0,GALASE4ly,h2o_l
460,1738,1.0,GALASE4ly,gal_l
465,1738,-1.0,GALASE4ly,ksi_deg8_l
1598,1738,1.0,GALASE4ly,ksi_deg9_l
458,1739,-1.0,GALASE5ly,h2o_l
460,1739,1.0,GALASE5ly,gal_l
467,1739,-1.0,GALASE5ly,ksi_deg11_l
1599,1739,1.0,GALASE5ly,ksi_deg12_l
458,1740,-1.0,GALASE6ly,h2o_l
460,1740,1.0,GALASE6ly,gal_l
469,1740,-1.0,GALASE6ly,ksi_deg14_l
1600,1740,1.0,GALASE6ly,ksi_deg15_l
458,1741,-1.0,GALASE7ly,h2o_l
460,1741,1.0,GALASE7ly,gal_l
471,1741,-1.0,GALASE7ly,ksi_deg17_l
1601,1741,1.0,GALASE7ly,ksi_deg18_l
458,1742,-1.0,GALASE8ly,h2o_l
460,1742,1.0,GALASE8ly,gal_l
473,1742,-1.0,GALASE8ly,ksi_deg20_l
1602,1742,1.0,GALASE8ly,ksi_deg21_l
458,1743,-1.0,GALASE9ly,h2o_l
460,1743,1.0,GALASE9ly,gal_l
475,1743,-1.0,GALASE9ly,ksi_deg23_l
1603,1743,1.0,GALASE9ly,ksi_deg24_l
8,1744,1.0,GALK,h_c
50,1744,-1.0,GALK,atp_c
52,1744,1.0,GALK,adp_c
244,1744,-1.0,GALK,gal_c
454,1744,1.0,GALK,gal1p_c
8,1745,-1.0,GALU,h_c
136,1745,1.0,GALU,ppi_c
455,1745,-1.0,GALU,utp_c
461,1745,1.0,GALU,udpg_c
1374,1745,-1.0,GALU,g1p_c
8,1746,1.0,GARFT,h_c
895,1746,-1.0,GARFT,10fthf_c
896,1746,1.0,GARFT,thf_c
1605,1746,-1.0,GARFT,gar_c
1606,1746,1.0,GARFT,fgam_c
458,1747,-1.0,GASNASE2ly,h2o_l
1607,1747,-1.0,GASNASE2ly,n2m2nmasn_l
1608,1747,1.0,GASNASE2ly,n2m2nm_l
1609,1747,1.0,GASNASE2ly,Asn_X_Ser_Thr_l
458,1748,-1.0,GASNASE3ly,h2o_l
1580,1748,-1.0,GASNASE3ly,ksi_deg1_l
1609,1748,1.0,GASNASE3ly,Asn_X_Ser_Thr_l
1610,1748,1.0,GASNASE3ly,ksi_deg2_l
458,1749,-1.0,GASNASEly,h2o_l
1582,1749,-1.0,GASNASEly,s2l2n2m2masn_l
1609,1749,1.0,GASNASEly,Asn_X_Ser_Thr_l
1611,1749,1.0,GASNASEly,s2l2n2m2m_l
8,1750,1.0,GCHOLAt3,h_c
13,1750,-1.0,GCHOLAt3,h2o_c
50,1750,-1.0,GCHOLAt3,atp_c
52,1750,1.0,GCHOLAt3,adp_c
53,1750,1.0,GCHOLAt3,pi_c
245,1750,1.0,GCHOLAt3,gchola_e
246,1750,-1.0,GCHOLAt3,gchola_c
506,1751,1.0,GDPFUCtg,gdpfuc_g
721,1751,-1.0,GDPFUCtg,gmp_g
722,1751,1.0,GDPFUCtg,gmp_c
1551,1751,-1.0,GDPFUCtg,gdpfuc_c
121,1752,1.0,GF6PTA,glu_L_c
166,1752,-1.0,GF6PTA,gln_L_c
786,1752,-1.0,GF6PTA,f6p_c
1475,1752,1.0,GF6PTA,gam6p_c
8,1753,-1.0,GFUCS,h_c
11,1753,1.0,GFUCS,nadp_c
12,1753,-1.0,GFUCS,nadph_c
1551,1753,1.0,GFUCS,gdpfuc_c
1612,1753,-1.0,GFUCS,gdpddman_c
8,1754,8.0,GGNG,h_c
461,1754,-8.0,GGNG,udpg_c
556,1754,8.0,GGNG,udp_c
1378,1754,-1.0,GGNG,Tyr_ggn_c
1613,1754,1.0,GGNG,ggn_c
13,1755,1.0,GHMT2r,h2o_c
118,1755,1.0,GHMT2r,gly_c
168,1755,-1.0,GHMT2r,ser_L_c
896,1755,-1.0,GHMT2r,thf_c
919,1755,1.0,GHMT2r,mlthf_c
46,1756,1.0,GHMT2rm,h2o_m
339,1756,1.0,GHMT2rm,gly_m
793,1756,-1.0,GHMT2rm,thf_m
795,1756,1.0,GHMT2rm,mlthf_m
1614,1756,-1.0,GHMT2rm,ser_L_m
50,1757,-1.0,GK1,atp_c
52,1757,1.0,GK1,adp_c
91,1757,1.0,GK1,gdp_c
722,1757,-1.0,GK1,gmp_c
458,1758,-1.0,GLAl_cho,h2o_l
460,1758,1.0,GLAl_cho,gal_l
651,1758,1.0,GLAl_cho,galside_cho_l
1615,1758,-1.0,GLAl_cho,digalside_cho_l
