i,k,s,rxn,met
709,777,1.0,P45011B12m,crtsl_m
43,778,-1.0,P45011B21m,h_m
45,778,-1.0,P45011B21m,nadph_m
46,778,2.0,P45011B21m,h2o_m
48,778,1.0,P45011B21m,nadp_m
370,778,-2.0,P45011B21m,o2_m
706,778,-1.0,P45011B21m,11docrtstrn_m
710,778,1.0,P45011B21m,aldstrn_m
8,779,1.0,PRGNLONESULT,h_c
15,779,-1.0,PRGNLONESULT,paps_c
16,779,1.0,PRGNLONESULT,pap_c
701,779,-1.0,PRGNLONESULT,prgnlone_c
711,779,1.0,PRGNLONESULT,prgnlones_c
2,780,-1.0,SR5ARr,h_r
30,780,-1.0,SR5ARr,nadph_r
32,780,1.0,SR5ARr,nadp_r
698,780,-1.0,SR5ARr,tststerone_r
714,780,1.0,SR5ARr,5adtststerone_r
8,781,1.0,STS1,h_c
13,781,-1.0,STS1,h2o_c
218,781,-1.0,STS1,dheas_c
314,781,1.0,STS1,so4_c
695,781,1.0,STS1,dhea_c
8,782,1.0,STS2,h_c
13,782,-1.0,STS2,h2o_c
222,782,-1.0,STS2,estrones_c
314,782,1.0,STS2,so4_c
696,782,1.0,STS2,estrone_c
8,783,1.0,STS4,h_c
13,783,-1.0,STS4,h2o_c
314,783,1.0,STS4,so4_c
701,783,1.0,STS4,prgnlone_c
711,783,-1.0,STS4,prgnlones_c
416,784,1.0,UGT1A1r,udp_r
699,784,-1.0,UGT1A1r,estrone_r
715,784,-1.0,UGT1A1r,udpglcur_r
716,784,1.0,UGT1A1r,estroneglc_r
416,785,2.0,UGT1A2r,udp_r
715,785,-2.0,UGT1A2r,udpglcur_r
717,785,-1.0,UGT1A2r,bilirub_r
718,785,1.0,UGT1A2r,bildglcur_r
416,786,1.0,UGT1A4r,udp_r
698,786,-1.0,UGT1A4r,tststerone_r
715,786,-1.0,UGT1A4r,udpglcur_r
719,786,1.0,UGT1A4r,tststeroneglc_r
654,787,-1.0,CERT2gt_cho,gluside_cho_c
720,787,1.0,CERT2gt_cho,gluside_cho_g
13,788,-1.0,H2Otg,h2o_c
413,788,1.0,H2Otg,h2o_g
104,789,1.0,UGLCNACtg,uacgam_g
555,789,-1.0,UGLCNACtg,uacgam_c
636,789,1.0,UGLCNACtg,ump_c
723,789,-1.0,UGLCNACtg,ump_g
8,790,-3.0,ATPasel,h_c
13,790,-1.0,ATPasel,h2o_c
50,790,-1.0,ATPasel,atp_c
52,790,1.0,ATPasel,adp_c
53,790,1.0,ATPasel,pi_c
667,790,4.0,ATPasel,h_l
8,791,-1.0,IDOURtly,h_c
667,791,1.0,IDOURtly,h_l
725,791,-1.0,IDOURtly,idour_c
726,791,1.0,IDOURtly,idour_l
35,792,1.0,AGPAT1_cho,coa_c
615,792,1.0,AGPAT1_cho,pa_cho_c
727,792,-1.0,AGPAT1_cho,Rtotal2coa_c
728,792,-1.0,AGPAT1_cho,alpa_cho_c
35,793,1.0,DGAT_cho,coa_c
673,793,-1.0,DGAT_cho,dag_cho_c
729,793,-1.0,DGAT_cho,Rtotal3coa_c
730,793,1.0,DGAT_cho,tag_cho_c
35,794,1.0,GPAM_cho,coa_c
399,794,-1.0,GPAM_cho,Rtotalcoa_c
728,794,1.0,GPAM_cho,alpa_cho_c
732,794,-1.0,GPAM_cho,glyc3p_c
8,795,1.0,LPS_cho,h_c
13,795,-1.0,LPS_cho,h2o_c
673,795,1.0,LPS_cho,dag_cho_c
730,795,-1.0,LPS_cho,tag_cho_c
735,795,1.0,LPS_cho,Rtotal3_c
8,796,1.0,LPS2_cho,h_c
13,796,-1.0,LPS2_cho,h2o_c
673,796,-1.0,LPS2_cho,dag_cho_c
675,796,1.0,LPS2_cho,Rtotal_c
736,796,1.0,LPS2_cho,mag_cho_c
8,797,1.0,LPS3_cho,h_c
13,797,-1.0,LPS3_cho,h2o_c
250,797,1.0,LPS3_cho,glyc_c
736,797,-1.0,LPS3_cho,mag_cho_c
737,797,1.0,LPS3_cho,Rtotal2_c
141,798,1.0,LPSe_cho,h_e
197,798,-1.0,LPSe_cho,h2o_e
739,798,-1.0,LPSe_cho,tag_cho_e
740,798,1.0,LPSe_cho,dag_cho_e
741,798,1.0,LPSe_cho,Rtotal3_e
35,799,1.0,MOGAT_cho,coa_c
399,799,-1.0,MOGAT_cho,Rtotalcoa_c
673,799,1.0,MOGAT_cho,dag_cho_c
736,799,-1.0,MOGAT_cho,mag_cho_c
13,800,-1.0,PPAP_cho,h2o_c
53,800,1.0,PPAP_cho,pi_c
615,800,-1.0,PPAP_cho,pa_cho_c
673,800,1.0,PPAP_cho,dag_cho_c
743,801,-1.0,RAI3,retn_c
746,801,1.0,RAI3,13_cis_retn_c
7,802,-1.0,RDH1,nad_c
8,802,1.0,RDH1,h_c
10,802,1.0,RDH1,nadh_c
742,802,1.0,RDH1,retinal_c
747,802,-1.0,RDH1,retinol_c
8,803,1.0,RDH1a,h_c
11,803,-1.0,RDH1a,nadp_c
12,803,1.0,RDH1a,nadph_c
742,803,1.0,RDH1a,retinal_c
747,803,-1.0,RDH1a,retinol_c
8,804,1.0,RDH2a,h_c
11,804,-1.0,RDH2a,nadp_c
12,804,1.0,RDH2a,nadph_c
744,804,1.0,RDH2a,retinal_cis_9_c
745,804,-1.0,RDH2a,retinol_9_cis_c
8,805,1.0,RDH3a,h_c
11,805,-1.0,RDH3a,nadp_c
12,805,1.0,RDH3a,nadph_c
748,805,-1.0,RDH3a,retinol_cis_11_c
749,805,1.0,RDH3a,retinal_11_cis_c
8,806,1.0,RETH1,h_c
13,806,-1.0,RETH1,h2o_c
737,806,1.0,RETH1,Rtotal2_c
745,806,1.0,RETH1,retinol_9_cis_c
757,806,-1.0,RETH1,9_cis_retfa_c
8,807,1.0,RETH2,h_c
13,807,-1.0,RETH2,h2o_c
737,807,1.0,RETH2,Rtotal2_c
748,807,1.0,RETH2,retinol_cis_11_c
759,807,-1.0,RETH2,11_cis_retfa_c
416,808,1.0,UGT1A5r2,udp_r
715,808,-1.0,UGT1A5r2,udpglcur_r
755,808,-1.0,UGT1A5r2,13_cis_retn_r
761,808,1.0,UGT1A5r2,13_cis_retnglc_r
8,809,-1.0,ADMDC,h_c
37,809,1.0,ADMDC,co2_c
763,809,-1.0,ADMDC,amet_c
764,809,1.0,ADMDC,ametam_c
3,810,-1.0,ARD1_cho,o2_c
8,810,2.0,ARD1_cho,h_c
84,810,1.0,ARD1_cho,for_c
87,810,1.0,ARD1_cho,2kmb_c
765,810,-1.0,ARD1_cho,dhmtp_c
13,811,-1.0,ARS_cho,h2o_c
53,811,1.0,ARS_cho,pi_c
83,811,-1.0,ARS_cho,dkmpp_c
765,811,1.0,ARS_cho,dhmtp_c
767,812,-1.0,DDPGAm,4h2oglt_m
768,812,1.0,DDPGAm,glx_m
769,812,1.0,DDPGAm,pyr_m
8,813,1.0,G5SADr,h_c
9,813,1.0,G5SADr,1pyr5c_c
13,813,1.0,G5SADr,h2o_c
770,813,-1.0,G5SADr,glu5sa_c
43,814,1.0,G5SADrm,h_m
46,814,1.0,G5SADrm,h2o_m
771,814,-1.0,G5SADrm,glu5sa_m
772,814,1.0,G5SADrm,1pyr5c_m
43,815,2.0,HPROxm,h_m
44,815,1.0,HPROxm,nadh_m
47,815,-1.0,HPROxm,nad_m
773,815,-1.0,HPROxm,4hpro_LT_m
774,815,1.0,HPROxm,1p3h5c_m
43,816,2.0,HPROym,h_m
45,816,1.0,HPROym,nadph_m
48,816,-1.0,HPROym,nadp_m
773,816,-1.0,HPROym,4hpro_LT_m
774,816,1.0,HPROym,1p3h5c_m
13,817,1.0,MDRPD,h2o_c
83,817,1.0,MDRPD,dkmpp_c
775,817,-1.0,MDRPD,5mdru1p_c
53,818,-1.0,MTAP,pi_c
158,818,1.0,MTAP,ade_c
776,818,-1.0,MTAP,5mta_c
777,818,1.0,MTAP,5mdr1p_c
775,819,1.0,MTRI,5mdru1p_c
777,819,-1.0,MTRI,5mdr1p_c
6,820,1.0,P5CR,pro_L_c
8,820,-2.0,P5CR,h_c
9,820,-1.0,P5CR,1pyr5c_c
11,820,1.0,P5CR,nadp_c
12,820,-1.0,P5CR,nadph_c
43,821,-1.0,PHCHGSm,h_m
46,821,-1.0,PHCHGSm,h2o_m
774,821,-1.0,PHCHGSm,1p3h5c_m
778,821,1.0,PHCHGSm,4hglusa_m
6,822,-1.0,PROD2,pro_L_c
8,822,1.0,PROD2,h_c
9,822,1.0,PROD2,1pyr5c_c
648,822,-1.0,PROD2,fad_c
649,822,1.0,PROD2,fadh2_c
86,823,1.0,UNK3,met_L_c
87,823,-1.0,UNK3,2kmb_c
120,823,1.0,UNK3,akg_c
121,823,-1.0,UNK3,glu_L_c
71,824,1.0,FBA2,dhap_c
452,824,1.0,FBA2,glyald_c
784,824,-1.0,FBA2,f1p_c
13,825,-1.0,FBP26,h2o_c
