id,lb,ub,ap,an
GLCt1r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
GLCt4,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
GLNALANaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
GLNASNNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
GLNCYSNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
GLNSERNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
GLNt4,0.0,1000.0,0.01215099715099715,0.01215099715099715
GLNTHRNaEx,0.0,1000.0,0.01215099715099715,0.01215099715099715
GLUPROASCT1,0.0,1000.0,0.01215099715099715,0.01215099715099715
GLYCt,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
GLYt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
GLYt4,0.0,1000.0,0.01215099715099715,0.01215099715099715
H2Ot,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
HCO3_NAt,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
HDCAtr,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
HDCEAtr,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
HISt4,0.0,1000.0,0.01215099715099715,0.01215099715099715
HIStiDF,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
HOMt4,0.0,1000.0,0.01215099715099715,0.01215099715099715
ILELAT1tc,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
ILEt4,0.0,1000.0,0.01215099715099715,0.01215099715099715
ILEtec,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
INSTt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
KCC2t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
KCCt,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
L_LACt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
LEUt4,0.0,1000.0,0.01215099715099715,0.01215099715099715
LEUtec,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
LYSt5r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
METt4,0.0,1000.0,0.01215099715099715,0.01215099715099715
METtec,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
NAHCO3_HCLt2,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
NaKt,0.0,1000.0,0.07478632478632478,0.07478632478632478
NAt3_1,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
NAt5,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
NKCC2t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
NKCCt,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
ORNt,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
OXAHCOtex,0.0,1000.0,0.01215099715099715,0.01215099715099715
PEFLIP_cho,0.0,1000.0,0.01215099715099715,0.01215099715099715
PHEt4,0.0,1000.0,0.01215099715099715,0.01215099715099715
PHEtec,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
PIt8,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
PIt9,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
PNTOt1,0.0,1000.0,0.01215099715099715,0.01215099715099715
PNTOt5,0.0,1000.0,0.01215099715099715,0.01215099715099715
PRODt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
PROSTGE1t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
PROSTGE2t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
PROt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
PROt4,0.0,1000.0,0.01215099715099715,0.01215099715099715
PSFLIP_cho,0.0,1000.0,0.01215099715099715,0.01215099715099715
PYRt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
r1635,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
r1636,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
r1637,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
r1638,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
r1639,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
r1640,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
r1641,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
r1642,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
r1643,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
r1645,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
r1646,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
r1648,-1000.0,1000.0,0.01215099715099715,0.01215099715099715
