i,k,s,met,rxn
21,82,1.0,coa,PTAr
60,82,-1.0,pi,PTAr
13,83,-1.0,adp,PYK
17,83,1.0,atp,PYK
43,83,-1.0,h,PYK
59,83,-1.0,pep,PYK
62,83,1.0,pyr,PYK
43,84,1.0,h,PYRt2r
44,84,-1.0,h(e),PYRt2r
62,84,1.0,pyr,PYRt2r
63,84,-1.0,pyr(e),PYRt2r
67,85,-1.0,ru5p-D,RPE
72,85,1.0,xu5p-D,RPE
66,86,-1.0,r5p,RPI
67,86,1.0,ru5p-D,RPI
43,87,2.0,h,SUCCt2_2
44,87,-2.0,h(e),SUCCt2_2
69,87,1.0,succ,SUCCt2_2
70,87,-1.0,succ(e),SUCCt2_2
43,88,1.0,h,SUCCt3
44,88,-1.0,h(e),SUCCt3
69,88,-1.0,succ,SUCCt3
70,88,1.0,succ(e),SUCCt3
31,89,1.0,fum,SUCDi
64,89,-1.0,q8,SUCDi
65,89,1.0,q8h2,SUCDi
69,89,-1.0,succ,SUCDi
13,90,1.0,adp,SUCOAS
17,90,-1.0,atp,SUCOAS
21,90,-1.0,coa,SUCOAS
60,90,1.0,pi,SUCOAS
69,90,-1.0,succ,SUCOAS
71,90,1.0,succoa,SUCOAS
23,91,1.0,e4p,TALA
26,91,1.0,f6p,TALA
33,91,-1.0,g3p,TALA
68,91,-1.0,s7p,TALA
43,92,2.0,h,THD2
44,92,-2.0,h(e),THD2
50,92,1.0,nad,THD2
51,92,-1.0,nadh,THD2
52,92,-1.0,nadp,THD2
53,92,1.0,nadph,THD2
33,93,1.0,g3p,TKT1
66,93,-1.0,r5p,TKT1
68,93,1.0,s7p,TKT1
72,93,-1.0,xu5p-D,TKT1
23,94,-1.0,e4p,TKT2
26,94,1.0,f6p,TKT2
33,94,1.0,g3p,TKT2
72,94,-1.0,xu5p-D,TKT2
22,95,-1.0,dhap,TPI
33,95,1.0,g3p,TPI
